Field,Action,Processing Action,Number of Slashes
accessibilityModule/seeAllSections/8/photos/1/xxLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/8/subtitle,Do Not Import,None,3
accessibilityModule/seeAllSections/8/title,Do Not Import,None,3
accessibilityModule/seeAllSections/9/amenityIds/0,Do Not Import,None,4
accessibilityModule/seeAllSections/9/id,Do Not Import,None,3
accessibilityModule/seeAllSections/9/photos/0/caption,Do Not Import,None,5
accessibilityModule/seeAllSections/9/photos/0/id,Do Not Import,None,5
accessibilityModule/seeAllSections/9/photos/0/largeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/9/photos/0/thumbnailUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/9/photos/0/xLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/9/photos/0/xxLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/9/subtitle,Do Not Import,None,3
accessibilityModule/seeAllSections/9/title,Do Not Import,None,3
